Nº Hogares;EDAD DUEÑA DE CASA;N°INDIVIDUOS;GSE;GSE1;PADRES;CANTIDAD DE HIJOS;OTRO PARIENTE;HOMBRES EN EL HOGAR;MUJERES EN EL HOGAR;ESTADO CIVIL;NIVEL EDUC.JEFE DE HOGAR;Vivienda;Servicios Básicos;telecomunicaciones ;transporte;salud;educación;recreación y cultura;Alimentación;Vestuario y Calzado;Otros;articulos de belleza;articulos de aseo (Personal y del Hogar);ARRIENDO;DIVIDENDO;GASTOSCOMUNES;AGUA;ELECTRICIDAD;GAS;CALEFACCION;COMPRAARTEFACTOSCALEFACCIONESTUFASETC;TELEFONOFIJO;INTERNET;TVCABLE;TRANSPORTE_FURGON ESCOLAR;COMBUSTIBLE_LIQUIDO_GAS;SALUD MEDICA EN GENERAL;SALUD DENTAL EN GENERAL;MEDICAMENTOS                                                                                                                                                                 (AUTOMEDICACION Y PRESCRIPCION MEDICA;EDUCACION                                                                                                                                                                               (MATRICULA Y ARANCEL PRE BASICA);EDUCACION   (MATRICULA Y ARANCEL  BASICA);EDUCACION (MATRICULA Y ARANCEL MEDIA);EDUCACION                                                                                                                                                                                    (MATRICULA Y ARANCEL SUPERIOR);MANTENIMIENTO Y REPARACION DE                                                                                                                                      INFRAESTRUCTURA DOMICILIARIA;BIENES DURABLES                                                                                                                                (MUEBLES,ELECTRODOMESTICOS,ETC);SERVICIO DOMESTICO;DECORACION HOGAR;ARTICULOS DE BEBE;ARTICULOS DE NIÑOS;TELEFONO MOVIL;TRANSPORTE (LOCOMOCION COLECTIVA);RECREACION Y CULTURA;HOBBIES;ALMUERZO DIARIO FUERA DEL HOGAR;VESTUARIO Y CALZADO DE VESTIR;ZAPATILLAS;ARTICULOS DE BELLEZA;ASEO HOGAR;BEBESTIBLES CALIENTES;BEBESTIBLES FRIOS;ALIMENTOS NO PERECIBLES;ALIMENTOS PERECIBLES;CUIDADO PERSONAL
50;66;2;C1;ALTO;AMBOS;0;0;1;1;CASADO;UNIVERSITARIA COMPLETA;26.000;73.500;59.000;40.000;6.000;0;0;39.835;22.000;60.000;0;14.395;;;;11.500;19.000;13.000;30.000;;18.000;18.000;18.000;;35.000;6.000;;;;;;;26.000;;60.000;;;;5.000;5.000;;;;22.000;;;3.010;3.234;6.108;11.326;19.167;11.385
51;70;4;C2;MEDIO;SOLO MADRE;2;1;1;3;VIUDO;TECNICA COMPLETA DE EDUCACION SUPERIOR;1.000.000;120.000;159.000;120.000;200.000;200.000;0;170.539;25.000;0;15.000;46.429;500.000;;;20.000;20.000;50.000;30.000;;23.000;23.000;23.000;50.000;;;;200.000;;200.000;;;500.000;;;;;;90.000;70.000;;;;;25.000;15.000;15.029;8.223;8.331;73.692;80.293;31.400
52;52;3;C2;MEDIO;SOLO MADRE;2;0;2;1;SEPARADO;POST GRADO;330.000;63.500;108.000;40.000;15.000;300.000;5.000;149.547;120.000;0;10.000;35.479;280.000;;45.000;;25.000;30.000;8.500;;;10.000;18.000;;20.000;;15.000;;;;;300.000;5.000;;;;;;80.000;20.000;;5.000;40.000;120.000;;10.000;15.553;2.688;19.900;31.993;54.966;19.926
53;61;4;C1;ALTO;SOLO MADRE;2;1;1;3;SEPARADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;133.000;66.000;28.000;32.000;0;0;78.500;50.000;0;0;14.107;;;;18.000;30.000;45.000;40.000;;12.000;12.000;12.000;;;22.000;;10.000;;;;;;;;;;;30.000;28.000;;;;50.000;;;5.258;;10.447;21.360;46.693;8.849
54;73;2;C1;ALTO;AMBOS;0;0;1;1;CASADO;UNIVERSITARIA COMPLETA;0;133.700;140.000;75.000;50.500;0;0;79.121;25.500;250.000;15.000;16.948;;;;17.500;29.200;45.000;42.000;;25.000;25.000;25.000;;75.000;35.000;;15.500;;;;;;;250.000;;;;65.000;;;;;25.500;;15.000;5.232;2.344;6.918;21.349;48.510;11.716
55;62;2;C1;ALTO;SOLO MADRE;1;0;1;1;VIUDO;UNIVERSITARIA INCOMPLETA;0;101.000;62.500;70.000;70.000;0;100.000;113.561;35.000;70.500;0;8.948;;;;11.000;28.000;45.000;17.000;;12.500;12.500;12.500;;70.000;45.000;;25.000;;;;;;;55.500;15.000;;;25.000;;;100.000;65.000;35.000;;;;3.059;6.200;4.949;34.353;8.948
56;53;6;D;BAJO;AMBOS;2;1;3;3;CASADO;MEDIA INCOMPLETA;0;92.000;79.000;120.000;12.200;15.000;0;63.089;0;35.000;21.000;29.589;;;;17.000;28.000;32.000;15.000;;18.000;18.000;18.000;;;;;12.200;;15.000;;;;;;;35.000;;25.000;120.000;;;;;;21.000;5.815;4.066;1.620;13.636;43.767;23.774
57;81;5;C2;MEDIO;AMBOS;1;2;3;2;CASADO;BASICA INCOMPLETA;75.000;89.300;70.900;25.000;0;0;0;29.190;11.200;0;7.500;2.349;;;;13.200;21.100;30.000;25.000;;;25.900;;;;;;;;;;;75.000;;;;;;45.000;25.000;;;;11.200;;7.500;950;990;2.830;2.716;22.654;1.399
58;45;9;C1;ALTO;AMBOS;7;0;7;2;CASADO;UNIVERSITARIA COMPLETA;280.000;162.300;190.500;130.000;229.200;580.000;56.100;231.685;190.000;0;0;27.572;280.000;;;35.200;45.100;40.000;42.000;;18.500;18.500;18.500;;130.000;49.000;135.000;45.200;;150.000;150.000;280.000;;;;;;;135.000;;56.100;;74.000;55.000;135.000;;4.424;4.927;7.665;29.484;115.609;23.148
59;35;3;C2;MEDIO;AMBOS;1;0;2;1;CASADO;UNIVERSITARIA COMPLETA;120.000;78.600;87.500;100.200;61.700;80.000;50.000;80.734;0;28.200;45.600;25.903;120.000;;;12.100;27.500;39.000;;;17.500;17.500;17.500;;65.000;40.000;;21.700;;80.000;;;;15.000;;13.200;;;35.000;35.200;20.000;30.000;;;;45.600;3.788;5.951;7.002;21.530;46.251;22.115
60;53;5;C2;MEDIO;AMBOS;2;0;2;3;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;121.800;74.600;210.000;32.500;550.000;17.500;94.932;120.000;0;0;10.836;;;;19.000;47.300;55.500;;;18.200;18.200;18.200;;125.000;15.000;10.000;7.500;;;;550.000;;;;;;;20.000;85.000;17.500;;25.000;35.000;85.000;;3.830;1.739;9.741;4.447;54.005;7.006
61;27;3;D;BAJO;AMBOS;1;0;1;2;CASADO;MEDIA COMPLETA;45.000;117.700;18.000;115.000;0;25.000;0;34.661;0;213.800;2.900;36.215;;45.000;;14.100;31.700;30.200;41.700;;;;;30.000;85.000;;;;;25.000;;;;130.000;;;71.300;12.500;18.000;;;;;;;2.900;4.891;;4.104;12.216;18.341;31.324
62;39;4;C2;MEDIO;AMBOS;2;0;2;2;CASADO;UNIVERSITARIA COMPLETA;65.000;139.300;102.500;100.000;48.200;155.000;35.000;86.109;0;0;0;26.387;;65.000;;19.200;37.100;35.000;48.000;;21.200;21.200;21.200;;65.000;15.000;12.000;21.200;35.000;120.000;;;;;;;;;38.900;35.000;20.000;15.000;;;;;15.382;5.668;9.698;11.906;58.837;11.005
63;71;2;C2;MEDIO;AMBOS;0;0;1;1;CASADO;BASICA INCOMPLETA;120.000;72.500;57.000;60.000;27.300;0;0;35.746;0;0;0;15.662;;;;12.300;25.200;35.000;;;18.500;;23.500;;60.000;15.000;;12.300;;;;;120.000;;;;;;15.000;;;;;;;;;1.170;2.938;20.630;11.008;15.662
64;82;1;C2;MEDIO;SOLO MADRE;0;0;0;1;VIUDO;MEDIA COMPLETA;20.000;124.800;70.000;50.000;30.000;0;0;48.770;0;190.000;27.000;22.316;;;;15.700;26.500;12.600;70.000;;20.000;20.000;20.000;;;;;30.000;;;;;20.000;;190.000;;;;10.000;50.000;;;;;;27.000;7.570;3.574;9.714;8.560;26.922;14.746
65;66;2;C2;MEDIO;AMBOS;0;0;1;1;CASADO;MEDIA COMPLETA;0;138.000;91.999;100.000;75.000;0;20.000;52.779;142.000;78.000;0;29.185;;;;12.000;18.000;48.000;60.000;;17.333;17.333;17.333;;;50.000;;25.000;;;;;;78.000;;;;;40.000;100.000;20.000;;;142.000;;;17.998;1.378;11.554;7.047;32.800;11.187
66;39;5;C2;MEDIO;AMBOS;3;0;3;2;CASADO;UNIVERSITARIA COMPLETA;223.000;96.500;183.200;130.000;40.000;244.000;70.000;164.138;75.000;67.500;50.000;13.186;;200.000;15.000;20.000;24.000;21.000;31.500;;14.400;14.400;14.400;;120.000;;22.000;18.000;;65.000;65.000;114.000;8.000;;;55.000;;12.500;140.000;10.000;40.000;30.000;70.000;;75.000;50.000;3.958;;26.107;7.532;60.499;9.228
67;50;4;C2;MEDIO;AMBOS;2;0;3;1;CASADO;TECNICA INCOMPLETA DE EDUCACION SUPERIOR;170.000;24.100;30.000;67.000;6.900;0;0;64.092;0;0;0;21.981;170.000;;;8.100;16.000;;;;;;;;60.000;6.900;;;;;;;;;;;;;30.000;7.000;;;;;;;8.865;4.273;3.152;12.361;44.306;13.116
68;42;6;D;BAJO;AMBOS;0;4;3;3;CONVIVIENTE;MEDIA COMPLETA;120.000;60.000;5.000;15.000;0;5.000;0;56.374;0;2.000;0;24.292;120.000;;;17.000;8.000;15.000;20.000;;;;;;;;;;;5.000;;;;;;;;2.000;5.000;15.000;;;;;;;3.000;4.045;1.455;15.929;34.945;21.292
69;22;3;C3;MEDIO;AMBOS;1;0;1;2;CONVIVIENTE;TECNICA COMPLETA DE EDUCACION SUPERIOR;120.000;52.000;17.000;30.000;5.000;0;0;14.000;0;17.000;0;0;120.000;;;12.000;10.000;15.000;15.000;;;;;;;;;5.000;;;;;;;;;10.000;7.000;17.000;30.000;;;;;;;;4.000;5.000;;5.000;
70;29;4;E;BAJO;AMBOS;2;0;2;2;CONVIVIENTE;MEDIA COMPLETA;100.000;33.000;10.000;40.000;0;5.000;0;50.598;0;23.000;0;18.615;100.000;;;8.000;10.000;15.000;;;;;;;40.000;;;;;5.000;;;;;;;16.000;7.000;10.000;;;;;;;;5.300;;3.905;19.790;26.903;13.315
71;36;6;D;BAJO;AMBOS;3;1;3;3;CASADO;MEDIA INCOMPLETA;0;71.000;44.000;40.000;0;0;0;31.316;50.000;58.000;8.000;25.811;;;;8.000;18.000;25.000;20.000;;;;24.000;;40.000;;;;;;;;;;;;28.000;30.000;20.000;;;;;;50.000;8.000;5.885;2.017;9.661;5.518;14.120;19.926
72;70;7;C2;MEDIO;AMBOS;1;4;5;2;CASADO;BASICA INCOMPLETA;0;63.000;31.000;10.000;28.000;0;0;49.054;0;0;5.000;15.909;;;;17.000;23.000;13.000;10.000;;;16.000;;;;;;28.000;;;;;;;;;;;15.000;10.000;;;;;;5.000;3.810;5.763;654;20.181;22.456;12.099
73;77;6;C1;ALTO;SOLO MADRE;0;3;2;4;SEPARADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;128.200;131.000;60.000;0;176.000;0;65.687;0;0;35.000;13.133;;;;35.000;38.000;45.000;10.200;;25.000;25.000;16.000;;50.000;;;;;16.000;;160.000;;;;;;;65.000;10.000;;;;;;35.000;2.597;600;2.600;28.126;34.361;10.536
74;76;3;D;BAJO;SOLO MADRE;1;0;0;3;SEPARADO;MEDIA COMPLETA;180.000;80.800;15.500;15.000;0;0;0;52.194;2.990;2.000;0;16.719;120.000;;;18.000;13.000;13.800;36.000;;12.500;;;;;;;;;;;;60.000;;;;;2.000;3.000;15.000;;;;2.990;;;3.816;10.090;4.162;17.126;20.816;12.903
75;43;3;C2;MEDIO;AMBOS;1;0;2;1;CASADO;POST GRADO;272.000;103.000;46.500;50.000;25.000;0;40.000;84.640;95.000;47.000;10.000;31.694;212.000;;60.000;11.000;23.000;34.000;35.000;;15.500;15.000;;;50.000;6.000;;19.000;;;;;;;;15.000;;32.000;16.000;;20.000;20.000;35.000;95.000;;10.000;17.255;2.350;4.354;21.605;21.331;14.439
76;54;3;C3;MEDIO;AMBOS;1;0;2;1;CASADO;MEDIA COMPLETA;0;82.200;73.500;8.000;254.000;0;0;14.158;40.000;19.900;0;13.676;;;;8.500;22.700;31.000;20.000;;10.000;10.000;24.500;;;;230.000;24.000;;;;;;19.900;;;;;29.000;8.000;;;;10.000;30.000;;7.166;;548;6.580;7.030;6.510
77;70;2;C3;MEDIO;SOLO MADRE;0;0;0;2;CASADO;UNIVERSITARIA INCOMPLETA;0;56.700;28.000;25.000;9.000;0;0;23.984;20.000;0;10.000;9.903;;;;10.000;9.000;13.700;24.000;;18.000;;;;;;;9.000;;;;;;;;;;;10.000;25.000;;;;20.000;;10.000;;2.828;;7.268;13.888;9.903
78;39;3;D;BAJO;AMBOS;1;0;1;2;CASADO;BASICA COMPLETA;0;44.000;25.000;60.000;0;22.000;20.000;36.207;30.000;0;10.000;5.026;;;;6.000;11.500;11.500;15.000;;;;;;;;;;;;22.000;;;;;;;;25.000;60.000;20.000;;;30.000;;10.000;;3.067;3.959;6.395;22.786;5.026
79;47;3;C2;MEDIO;SOLO MADRE;2;0;1;2;CASADO;TECNICA INCOMPLETA DE EDUCACION SUPERIOR;120.000;83.290;30.000;5.000;85.000;15.000;0;20.523;20.000;0;3.990;7.738;;;20.000;20.000;20.000;34.000;9.290;;10.000;;;;;35.000;;50.000;;15.000;;;100.000;;;;;;20.000;5.000;;;;;20.000;3.990;4.087;826;1.830;11.536;6.331;3.651
80;39;5;D;BAJO;AMBOS;3;0;3;2;CASADO;MEDIA COMPLETA;30.000;59.850;19.000;36.000;17.500;40.000;0;43.077;0;3.000;2.990;17.374;;;;14.000;16.000;15.000;14.850;;6.000;;;16.000;;;17.500;;;;40.000;;30.000;;;;;3.000;13.000;20.000;;;;;;2.990;4.264;1.319;3.180;11.021;27.557;13.110
81;50;4;D;BAJO;AMBOS;2;0;2;2;CASADO;MEDIA INCOMPLETA;160.000;92.470;15.800;65.000;100.000;76.000;0;91.694;0;0;0;38.317;;;;15.500;16.270;37.800;22.900;;;15.800;;;;65.000;;35.000;;;;76.000;160.000;;;;;;;65.000;;;;;;;9.843;4.560;25.360;15.424;46.350;28.474
82;54;4;C1;ALTO;AMBOS;2;0;2;2;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;1.900.000;124.500;127.900;217.000;50.700;0;64.000;99.792;95.000;72.000;20.000;10.896;;;;16.500;23.000;55.000;30.000;;15.300;15.300;15.300;;122.000;22.000;;28.700;;;;;1.900.000;;72.000;;;;82.000;95.000;40.000;24.000;44.000;95.000;;20.000;1.639;7.855;9.144;8.681;30.112;9.257
83;71;6;C1;ALTO;AMBOS;2;2;2;4;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;136.980;155.700;188.000;115.700;0;24.750;87.665;0;480.000;15.000;26.603;;;;21.750;31.230;47.000;37.000;;18.000;18.700;;;142.000;27.700;45.000;43.000;;;;;;;480.000;;;;119.000;46.000;24.750;;;;;15.000;6.069;3.989;11.908;34.754;37.014;20.534
84;26;3;E;BAJO;AMBOS;1;0;2;1;CONVIVIENTE;BASICA COMPLETA;97.300;91.800;15.000;30.000;4.000;0;0;10.600;26.000;38.600;0;3.000;;;;21.000;24.800;23.000;23.000;;;;;;;;;4.000;;;;;97.300;;;;35.600;3.000;15.000;30.000;;;;26.000;;;2.500;900;;9.700;;500
85;38;5;D;BAJO;AMBOS;2;0;4;1;CONVIVIENTE;BASICA INCOMPLETA;112.000;97.250;83.000;170.000;990;0;0;44.566;9.500;575.800;0;20.310;112.000;;;25.600;27.950;27.900;15.800;59.800;17.000;17.000;17.000;;160.000;;;990;;;;;;480.000;;;36.000;;32.000;10.000;;;;9.500;;;8.803;;9.398;15.029;20.139;11.507
86;71;5;C1;ALTO;SOLO MADRE;1;3;1;4;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;10.000;116.400;99.100;189.000;30.000;400.000;0;45.559;135.900;19.220;0;22.425;;;;18.500;20.000;50.000;27.900;19.220;22.100;;;;;;;30.000;;;;400.000;10.000;;;;;;77.000;189.000;;;;120.000;15.900;;5.281;2.990;10.862;3.828;27.879;17.144
87;54;3;C2;MEDIO;SOLO MADRE;2;0;1;2;VIUDO;TECNICA COMPLETA DE EDUCACION SUPERIOR;6.000;78.500;72.700;88.000;53.000;0;16.000;45.330;0;32.000;0;10.869;;;;10.000;14.500;32.000;22.000;;15.900;15.900;15.900;;30.000;30.000;;23.000;;;;;6.000;32.000;;;;;25.000;58.000;16.000;;;;;;5.197;3.177;5.507;8.744;27.902;5.672
88;70;5;C2;MEDIO;SOLO PADRE;1;2;3;2;CASADO;UNIVERSITARIA COMPLETA;200.000;116.561;62.550;188.000;59.900;170.000;15.000;162.374;27.000;72.320;0;58.539;;200.000;;17.250;37.600;44.211;17.500;24.320;19.650;10.900;;48.000;;6.200;35.000;18.700;170.000;;;;;;;;36.000;12.000;32.000;140.000;15.000;;60.000;27.000;;;16.681;3.150;21.336;30.755;47.133;41.858
89;55;6;C2;MEDIO;AMBOS;4;0;3;3;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;166.380;126.400;103.500;158.000;0;0;167.249;35.000;117.000;6.000;26.881;;;;42.120;49.260;60.000;15.000;117.000;16.000;16.200;16.200;;85.000;83.000;;75.000;;;;;;;;;;;78.000;18.500;;;42.000;;35.000;6.000;13.610;3.071;19.501;43.352;59.325;13.271
90;71;2;C1;ALTO;AMBOS;0;0;1;1;SOLTERO;UNIVERSITARIA COMPLETA;16.000;124.140;80.500;120.000;42.000;0;0;186.370;0;0;0;8.235;;;;19.790;22.350;57.000;25.000;;13.900;13.900;13.900;;42.000;;;42.000;;;;;16.000;;;;;;38.800;78.000;;;96.000;;;;3.382;11.838;15.915;29.631;32.986;4.853
91;32;4;C3;MEDIO;AMBOS;2;0;2;2;CONVIVIENTE;TECNICA COMPLETA DE EDUCACION SUPERIOR;120.000;69.000;10.000;15.000;16.000;0;20.000;61.393;55.000;196.000;5.000;44.898;120.000;;;7.000;17.000;30.000;15.000;;;;;;;6.000;;10.000;;;;;;150.000;;;36.000;10.000;10.000;15.000;;20.000;20.000;40.000;15.000;5.000;3.518;600;8.528;8.662;23.603;41.380
92;48;4;C1;ALTO;AMBOS;2;0;2;2;CASADO;UNIVERSITARIA COMPLETA;300.000;122.000;189.000;420.000;25.000;115.000;60.000;497.100;140.000;250.000;15.000;12.205;;300.000;;12.000;35.000;35.000;40.000;;13.000;13.000;13.000;200.000;200.000;;;25.000;;50.000;65.000;;;;250.000;;;;150.000;20.000;60.000;;400.000;60.000;80.000;15.000;1.890;;22.126;22.054;52.920;10.315
93;49;6;C2;MEDIO;AMBOS;2;2;3;3;CASADO;BASICA INCOMPLETA;0;110.590;63.700;45.000;0;0;0;76.532;129.900;120.000;0;25.093;;;;30.000;41.290;27.100;12.200;;7.900;7.900;7.900;;45.000;;;;;;;;;120.000;;;;;40.000;;;;;100.000;29.900;;11.076;4.478;15.823;22.177;34.054;14.017
94;46;4;C2;MEDIO;AMBOS;1;1;2;2;CASADO;MEDIA COMPLETA;210.000;88.000;62.900;45.000;5.000;54.000;20.000;78.415;68.000;0;10.000;18.767;;210.000;;18.000;28.000;28.000;14.000;;15.900;15.000;15.000;;40.000;;;5.000;;54.000;;;;;;;;;17.000;5.000;10.000;10.000;;38.000;30.000;10.000;2.936;1.460;30.036;17.197;29.722;15.831
95;52;4;C2;MEDIO;AMBOS;2;0;1;3;CASADO;UNIVERSITARIA COMPLETA;27.000;129.650;132.900;68.000;20.000;0;15.000;115.511;17.000;0;0;25.965;;;;25.650;34.000;50.000;20.000;;20.000;29.000;18.900;;;;20.000;;;;;;27.000;;;;;;65.000;68.000;15.000;;30.000;;17.000;;5.119;;23.833;16.159;45.519;20.846
96;47;8;D;BAJO;AMBOS;4;2;4;4;CASADO;BASICA COMPLETA;30.000;52.666;198.000;50.000;0;35.000;10.000;179.721;140.000;15.000;16.000;21.187;;;;16.666;15.000;21.000;;;24.000;24.000;;;;;;;;35.000;;;30.000;;;;;15.000;150.000;50.000;;10.000;100.000;84.000;56.000;16.000;13.145;5.982;10.020;22.594;41.125;8.042
97;70;4;D;BAJO;AMBOS;1;2;3;1;VIUDO;BASICA COMPLETA;0;91.440;93.800;90.000;0;0;0;40.952;0;0;0;16.486;;;;21.590;22.850;23.000;24.000;;13.800;;30.000;;;;;;;;;;;;;;;;50.000;90.000;;;;;;;1.511;2.989;3.005;15.445;19.513;14.975
98;45;5;C3;MEDIO;AMBOS;3;0;3;2;CASADO;MEDIA COMPLETA;0;57.900;20.000;45.000;0;73.000;0;42.381;0;7.000;0;21.197;;;;11.000;16.900;15.000;15.000;;5.000;;;5.000;;;;;;;73.000;;;;;;;7.000;15.000;40.000;;;;;;;3.356;1.478;2.940;11.087;26.876;17.841
99;36;4;C1;ALTO;SOLO MADRE;3;0;1;3;SEPARADO;UNIVERSITARIA INCOMPLETA;50.000;152.000;153.900;31.000;2.800;0;45.000;121.478;114.000;12.000;0;28.380;;;;23.000;29.000;64.000;36.000;;29.000;12.900;22.000;;21.000;2.800;;;;;;;50.000;;12.000;;;;90.000;10.000;45.000;;65.000;72.000;42.000;;11.195;;14.030;6.103;36.345;17.185
100;50;5;C3;MEDIO;AMBOS;3;0;3;2;CASADO;UNIVERSITARIA COMPLETA;120.000;92.000;75.500;65.000;22.000;130.000;0;47.436;0;0;8.000;17.852;120.000;;;20.000;28.000;28.000;16.000;;18.500;18.500;18.500;28.000;22.000;4.000;;18.000;;40.000;;90.000;;;;;;;20.000;15.000;;;;;;8.000;9.639;1.898;7.809;13.779;23.950;8.213
101;45;3;D;BAJO;SOLO PADRE;0;2;2;1;SEPARADO;MEDIA COMPLETA;90.000;42.810;18.555;9.900;4.000;0;0;46.372;19.800;0;1.780;21.553;90.000;;;9.200;14.110;12.000;7.500;;;;;;;;;4.000;;;;;;;;;;;18.555;9.900;;;;;19.800;1.780;11.074;5.017;6.797;21.084;13.474;10.479
102;77;1;D;BAJO;SOLO MADRE;0;0;0;1;VIUDO;BASICA COMPLETA;0;45.810;33.000;8.000;40.500;0;0;63.546;0;0;0;19.198;;;;4.200;15.110;14.500;12.000;;15.000;;14.000;;;26.000;;14.500;;;;;;;;;;;4.000;8.000;;;;;;;13.878;3.037;6.863;22.978;30.668;5.320
103;63;3;C2;MEDIO;AMBOS;0;1;1;2;CASADO;UNIVERSITARIA COMPLETA;0;55.800;18.000;12.900;30.500;0;0;59.836;0;0;14.330;15.092;;;;8.500;16.100;20.800;10.400;;5.000;;;;;15.000;;15.500;;;;;;;;;;;13.000;12.900;;;;;;14.330;13.486;4.607;3.411;20.415;31.403;1.606
104;48;4;C2;MEDIO;AMBOS;2;0;1;3;CASADO;MEDIA COMPLETA;0;79.110;79.850;59.500;22.110;0;0;65.456;16.880;0;4.230;42.537;;;;11.590;17.520;40.000;10.000;;13.660;17.600;18.590;;50.000;;;22.110;;;;;;;;;;;30.000;9.500;;;;16.880;;4.230;17.032;2.769;5.942;18.050;38.695;25.505
105;65;3;C3;MEDIO;AMBOS;1;0;2;1;CASADO;BASICA COMPLETA;0;62.300;66.620;40.000;18.500;0;0;59.435;5.900;90.000;2.000;30.345;;;;9.900;15.900;24.200;12.300;90.000;11.100;18.330;19.190;;30.000;;;18.500;;;;;;;;;;;18.000;10.000;;;;;5.900;2.000;21.200;2.327;6.934;25.687;24.487;9.145
106;65;2;C3;MEDIO;AMBOS;0;0;1;1;CASADO;BASICA COMPLETA;0;61.009;30.000;9.000;6.000;0;0;56.383;0;0;1.900;35.850;;;;11.010;15.399;22.000;12.600;;10.000;;;;;;;6.000;;;;;;;;;;;20.000;9.000;;;;;;1.900;17.663;3.388;8.469;18.632;25.894;18.187
107;57;3;C2;MEDIO;SOLO PADRE;0;2;1;2;SOLTERO;UNIVERSITARIA COMPLETA;0;89.020;88.710;71.000;0;0;0;77.699;0;0;4.250;45.509;;;;12.000;19.220;45.700;12.100;;14.110;17.600;17.100;;60.000;;;;;;;;;;;;;;39.900;11.000;;;5.000;;;4.250;19.424;4.588;9.139;20.009;38.963;26.085
108;43;7;C3;MEDIO;AMBOS;4;0;5;2;CASADO;MEDIA COMPLETA;0;96.700;48.100;40.000;10.500;69.000;0;65.802;96.200;0;4.700;32.291;;;;16.800;19.900;30.000;30.000;;5.000;18.100;19.000;;;;;10.500;;28.000;14.000;27.000;;;;;;;6.000;40.000;;;;58.200;38.000;4.700;11.694;3.055;10.969;16.955;34.823;20.597
109;62;3;C3;MEDIO;AMBOS;1;0;1;2;CASADO;MEDIA COMPLETA;0;91.400;66.000;40.000;0;0;0;90.869;0;0;4.200;42.694;;;;15.400;22.100;38.800;15.100;;14.900;21.100;;;40.000;;;;;;;;;;;;;;30.000;;;;;;;4.200;16.946;2.240;7.736;31.419;49.474;25.748
110;41;4;C2;MEDIO;AMBOS;2;0;3;1;CASADO;MEDIA COMPLETA;0;123.010;67.500;80.900;0;0;0;86.509;0;28.000;4.600;52.772;;;;25.800;27.300;48.110;21.800;;20.000;20.000;20.000;;35.000;;;;;;;;;;;;;28.000;7.500;45.900;;;;;;4.600;21.861;2.815;11.449;33.235;39.010;30.911
111;49;5;C3;MEDIO;AMBOS;2;1;2;3;CASADO;MEDIA COMPLETA;0;72.280;70.000;50.000;8.800;160.000;0;94.088;30.000;55.000;10.000;43.939;;;;11.420;19.760;32.000;9.100;;;19.000;18.000;;30.000;;;8.800;;;;160.000;;;;15.000;;40.000;33.000;20.000;;;15.000;30.000;;10.000;17.292;1.989;6.678;13.830;56.591;26.647
112;64;4;C1;ALTO;AMBOS;1;1;1;3;CASADO;MEDIA COMPLETA;0;90.733;96.719;55.000;0;20.000;0;87.077;19.700;0;0;33.235;;;;16.333;25.100;36.500;12.800;;19.900;18.909;18.910;;55.000;;;;;20.000;;;;;;;;;39.000;;;;;19.700;;;8.697;2.490;8.713;34.944;40.930;24.538
113;46;4;C2;MEDIO;AMBOS;2;0;2;2;CASADO;UNIVERSITARIA COMPLETA;0;61.120;61.400;90.000;182.990;20.000;11.500;82.544;15.110;0;5.600;41.984;;;;9.800;15.000;26.800;9.520;;9.000;19.300;18.100;;50.000;90.000;90.000;2.990;;;;20.000;;;;;;;15.000;40.000;1.500;10.000;;15.110;;5.600;13.513;3.378;11.020;34.754;33.392;28.471
114;68;2;C3;MEDIO;AMBOS;0;0;1;1;CASADO;BASICA INCOMPLETA;0;54.370;36.500;21.800;11.790;0;0;38.028;0;0;5.110;7.906;;;;14.550;21.120;10.200;8.500;;15.000;;21.500;;20.000;4.990;;6.800;;;;;;;;;;;;1.800;;;;;;5.110;2.180;1.255;9.194;12.316;15.263;5.726
115;49;6;D;BAJO;AMBOS;3;1;3;3;CASADO;BASICA INCOMPLETA;0;64.520;62.000;100.500;0;111.500;0;49.340;0;0;3.600;27.514;;;;11.800;17.320;26.300;9.100;;10.000;20.000;11.000;;35.500;;;;;;16.500;95.000;;;;;;;21.000;65.000;;;;;;3.600;8.658;2.765;6.487;19.282;20.806;18.856
116;55;11;D;BAJO;SOLO PADRE;4;6;4;7;SOLTERO;MEDIA COMPLETA;0;111.210;69.980;91.000;0;0;0;80.541;100.000;44.200;0;51.951;;;;30.300;26.110;29.800;25.000;;11.100;19.220;19.660;13.000;;;;;;;;;;11.000;;;33.200;;20.000;78.000;;;;100.000;;;13.662;1.910;7.285;28.830;42.516;38.289
117;49;3;E;BAJO;SOLO MADRE;2;0;1;2;SOLTERO;MEDIA COMPLETA;0;64.600;17.000;0;0;0;0;38.221;0;0;1.600;18.662;;;;9.000;18.900;21.000;15.700;;12.000;;;;;;;;;;;;;;;;;;5.000;;;;;;;1.600;7.810;4.824;5.364;10.658;17.375;10.852
